incident_id,name_of_covered_entity,state,business_associate_involved,individuals_affected,date_of_breach,type_of_breach,location_of_breached_information,date_posted_or_updated,information_breached,entity,organization_type,method
0,Brooke Army Medical Center,TX,MedAssets,10000,10/16/09,Theft,Paper,6/30/14,"Personal Information, Health Information, Contact Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
1,"Mid America Kidney Stone Association, LLC",MO,MedAssets,10000,9/22/09,Theft,Network Server,5/30/14,"Health Information, Financial Information, Login Credentials, Technical Safeguards, Administrative Actions",Facebook,web,hacked
2,Alaska Department of Health and Social Services,AK,MedAssets,5010,10/12/09,Theft,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
3,"Health Services for Children with Special Needs, Inc.",DC,MedAssets,38000,10/9/09,Loss,Laptop,1/23/14,"Personal Information, Health Information, Financial Information, Login Credentials, Technical Safeguards, Administrative Actions",Facebook,web,hacked
4,"L. Douglas Carlson, M.D.",CA,MedAssets,52570,9/27/09,Theft,Desktop Computer,1/23/14,"Personal Information, Health Information, Financial Information, Contact Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
5,"David I. Cohen, MD",CA,MedAssets,8570,9/27/09,Theft,Desktop Computer,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
6,"Michele Del Vicario, MD",CA,MedAssets,61450,9/27/09,Theft,Desktop Computer,1/23/14,"Personal Information, Health Information, Financial Information, Login Credentials, Contact Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
7,"Joseph F. Lopez, MD",CA,MedAssets,9520,9/27/09,Theft,Desktop Computer,1/23/14,"Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
8,"Mark D. Lurie, MD",CA,MedAssets,51660,9/27/09,Theft,Desktop Computer,1/23/14,"Personal Information, Health Information, Financial Information, Login Credentials, Contact Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
9,City of Hope National Medical Center,CA,MedAssets,59000,9/27/09,Theft,Laptop,1/23/14,"Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
10,The Children's Hospital of Philadelphia,PA,MedAssets,9430,10/20/09,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
11,"Cogent Healthcare of Wisconsin, S.C.",TN,MedAssets,64000,10/11/09,Theft,Laptop,4/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
12,Universal American,NY,"Democracy Data & Communications, LLC (",830000,11/12/09,Other,Paper,1/23/14,"Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
13,Kern Medical Center,CA,MedAssets,5960,10/31/09,Theft,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
14,"Keith W. Mann, DDS, PLLC",NC,"Rick Lawson, Professional Computer Services",20000,12/8/09,Hacking/IT Incident,"Desktop Computer, Network Server, Electronic Medical Record",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
15,Detroit Department of Health and Wellness Promotion,MI,MedAssets,100000,10/22/09,Theft,Other Portable Electronic Device,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
16,Detroit Department of Health and Wellness Promotion,MI,MedAssets,6460,11/26/09,Theft,"Laptop, Desktop Computer",1/23/14,"Personal Information, Health Information, Financial Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
17,"University of California, San Francisco",CA,MedAssets,6100,9/22/09,Other,E-mail,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
18,Daniel J. Sigman MD PC,MA,MedAssets,18600,12/11/09,Theft,"Other Portable Electronic Device, Other, Electronic Medical Record",1/23/14,"Personal Information, Health Information, Financial Information, Contact Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
19,Massachusetts Eye and Ear Infirmary,MA,MedAssets,10760,11/10/09,Theft,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
20,BlueCross BlueShield Association,DC,Service Benefits Plan Administrative Services Corp,34000,10/26/09,Theft,Paper,6/30/14,"Personal Information, Health Information",Facebook,web,hacked
21,BlueCross BlueShield Association,DC,Merkle Direct Marketing,150000,10/7/09,Theft,Paper,4/24/14,"Personal Information, Health Information, Administrative Actions",Facebook,web,hacked
22,Kaiser Permanente Medical Care Program,CA,MedAssets,155000,12/1/09,Theft,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
23,Blue Island Radiology Consultants,IL,United Micro Data,25620,12/9/09,Theft,Other,6/30/14,"Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
24,"Goodwill Industries of Greater Grand Rapids, Inc.",MI,MedAssets,100000,12/15/09,Theft,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards",Facebook,web,hacked
25,Children's Medical Center of Dallas,TX,MedAssets,38000,11/19/09,Loss,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
26,Concentra,TX,MedAssets,9000,11/19/09,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
27,Ashley and Gray DDS,MO,MedAssets,93090,1/10/10,Theft,Desktop Computer,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
